sname,District_Name,Crop_Year,cseason,Crop,Area,production,ratio_of_production,label
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Autumn     ,Sugarcane,67.5,402.0,0.025634485397270756,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Arecanut,1912.0,1900.0,0.1211580155592399,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Arhar/Tur,20.5,13.2,0.0008417293712536665,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Black pepper,409.0,98.0,0.006249202907792373,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Cashewnut,15.0,10.5,0.0006695574544063257,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Dry chillies,128.0,148.0,0.009437571738298687,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Dry ginger,94.0,828.52,0.05283254686902181,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Groundnut,15.5,7.6,0.00048463206223695954,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Maize,73.0,253.0,0.016133146282361944,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Moong(Green Gram),29.9,17.85,0.0011382476724907538,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Sunflower,1.0,0.5,3.188368830506313e-05,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Sweet potato,32.0,235.0,0.014985333503379671,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Turmeric,10.0,105.0,0.006695574544063257,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Urad,34.0,15.05,0.0009596990179824002,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Whole Year ,Banana,360.0,5517.0,0.35180461675806657,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Whole Year ,Coconut ,3540.0,11000000.0,701.4411427113888,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Whole Year ,Tapioca,22.5,220.0,0.014028822854227777,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Arhar/Tur,21400.0,2600.0,0.16579517918632827,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Bajra,1400.0,500.0,0.03188368830506313,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Castor seed,1000.0,100.0,0.006376737661012626,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Cotton(lint),7300.0,9400.0,0.5994133401351869,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Dry chillies,3700.0,7100.0,0.45274837393189643,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Groundnut,650800.0,228400.0,14.564468817752838,2
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Horse-gram,3300.0,1000.0,0.06376737661012626,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Jowar,10100.0,10200.0,0.6504272414232879,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Korra,2200.0,700.0,0.04463716362708838,1
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Maize,2800.0,4900.0,0.3124601453896187,1
